Raiz	Fruto	Pastagem
6.225	59.77	Não
6.487	60.98	Não
4.919	14.73	Não
5.13	19.28	Não
5.417	34.25	Não
5.359	35.53	Não
7.614	87.73	Não
6.352	63.21	Não
4.975	24.25	Não
6.93	64.34	Não
6.248	52.92	Não
5.451	32.35	Não
6.013	53.61	Não
5.928	54.86	Não
6.264	64.81	Não
7.181	73.24	Não
7.001	80.64	Não
4.426	18.89	Não
7.302	75.49	Não
5.836	46.73	Não
10.253	116.05	Sim
6.958	38.94	Sim
8.001	60.77	Sim
9.039	84.37	Sim
8.91	70.11	Sim
6.106	14.95	Sim
7.691	70.7	Sim
8.988	80.31	Sim
8.975	82.35	Sim
9.844	105.07	Sim
8.508	73.79	Sim
7.354	50.08	Sim
8.643	78.28	Sim
7.916	41.48	Sim
9.351	98.47	Sim
7.066	40.15	Sim
8.158	52.26	Sim
7.382	46.64	Sim
8.515	71.01	Sim
8.53	83.03	Sim
